tweet_id,user_id,user_name,created_at,full_text,retweets,favorite
1347249704208367616,3108644521,akanshabhatt71,Thu Jan 07 18:32:14 +0000 2021,"#66daysofdata Day 2: Watched a video on Google Colab vs Google Colab Pro.
Google Colab Pro offers a longer runtime (24hrs). It also provides more memory and variety of GPUs, offering high speed whereas in Google Colab the notebook offers less interval of runtime. @KenJee_DS",0,1
1347249364356395009,1345722167921582080,imabhinav_5,Thu Jan 07 18:30:53 +0000 2021,"Day 7 of #66daysofdata by @KenJee_DS 
Today wasn't productive for me.
This video by Tina Huang might be helpful to any beginners like me feeling overwhelmed by all the Data Science stuff there is to learn.https://t.co/uNRtWWSOK5",1,1
1347246977831067650,1345596935621763073,shravani_ml,Thu Jan 07 18:21:24 +0000 2021,"#66daysofdata 
Day3 - Missed tweeting about day3. So here it is - studied a little about Gram Schmidt process and implemented it in Python
Day4 - Learnt about Eigen values , Eigen Decomposition using Python #DataScience #Python",1,0
1347243534802317312,2562318241,NeemaMV,Thu Jan 07 18:07:43 +0000 2021,"Day 4 of #66daysofdata #datascience
Day 41 of #100DaysOfCode #100daysofpython 
- Continued to work on updating notebook with some ideas.
- worked on work related coding documentation.",6,6
1347243490544144384,2149586883,vperez2000,Thu Jan 07 18:07:33 +0000 2021,"#66daysofdata #Round2 #Day4
#4:  https://t.co/uI3bOhDAzU
Seems there are more Cons than Pros to get a Master's in DS - Money, Time &amp; Uncertainty 🤷🏻‍♀️ And now there are a lot of resources out there 👩🏻‍💻
#66daysofdata @KenJee_DS",0,1
1347242753659445250,3108644521,akanshabhatt71,Thu Jan 07 18:04:37 +0000 2021,"#66daysofdata @KenJee_DS 
Although I was not regular in posting my learning journey so starting it from today.
Day 1: Learnt various Data types ( Numbers, Strings, Floating Values) in Python. I went through Variable Assignment and mathematical operations associated with it.",2,2
1347241696472354816,2201791156,swapnil_1_618,Thu Jan 07 18:00:25 +0000 2021,"Day 07 of #66daysofdata.
Today I've watched this amazing short video on ""Probability for Data Science and Machine Learning"" by Derek Banas on Youtube.
And from tomorrow, I will start learning Statistics...",0,1
1347240947193561088,909968496011894784,Paiky16,Thu Jan 07 17:57:26 +0000 2021,"Day 4 of #66daysofdata:
▶️Continued with Linear Algebra from Mathematics for Machine Learning.
Anyone has any good suggestions for advanced python books or tutorials?",0,1
1347240444158087169,981243701610602497,_CynicalCyanide,Thu Jan 07 17:55:27 +0000 2021,"Day 5
Coding is a nightmare sometimes. And I haven't even reached the hard part yet. 

Pretending like coding in #Python is like speaking in Parseltongue to feel good about myself. 

Solved Generic Beginner Level Python Problems

#100DaysOfCode 
#66daysofdata",2,4
1347240014388740096,2408550806,parthrajauria,Thu Jan 07 17:53:44 +0000 2021,"Day 2 of #66daysofdata! Round 2!
Watched one video lecture of the same coursera course. @KenJee_DS",0,1
1347238593190711298,1331398329977032707,aloknag_10,Thu Jan 07 17:48:05 +0000 2021,"Day 4 of #66DaysOfData:
Today, I studied about linear relationship in data.
✔️ scatter plots
✔️correlation coefficients
✔️residuals and least squared linear regression",0,2
1347235110131806210,804283562115629056,theishantha,Thu Jan 07 17:34:15 +0000 2021,"Day 4 of 66

Today I joined a Data Science webinar[How Data Science is Driving the Future of Automotive] on @DataCamp   Conducted by Michael Crabtree. 

#66daysofdata #DataScience #DataCamp  @TheDataPeasant https://t.co/AsHI2GwWh4",1,1
1347228504908156930,806854993256947713,Saurabh___Joshi,Thu Jan 07 17:08:00 +0000 2021,"Day 7 V_2 of #66DaysOfData with @KenJee_DS

Started with Web-Scraping Section of Automate the boring stuff with python on Udemy.
Finished with my 1st exam Today💪🏼. Learned TCL command in SQL(Commit, rollback and savepoint) used to manage transactions in the database.",0,2
1347228290281562112,896716355411611648,martinnyakimov,Thu Jan 07 17:07:09 +0000 2021,"[Day 7 of #66DaysOfData]
Watched #DataScience videos and added a few new charts in the notebook. Also, refactored some of the code to be easier to add more charts.",0,2
1347224817963986945,1291489501844393984,_dominiquejames,Thu Jan 07 16:53:21 +0000 2021,"We can avoid #impostersyndrome with this simple tactic:

Being honest about where we’re at, and asking for help when we don’t know.

In other words, honesty is best. Learning takes care of the rest.

#100DaysOfCode 
#66daysofdata 
🤙🔥💻",3,3
1347222028428795907,19448058,paulapivat,Thu Jan 07 16:42:16 +0000 2021,"Day 42: #66daysofdata

-  more practice accessing Twitter API, but with better practices around storing sensitive API keys
- spend time learning the ins and outs of setting up dotenv module, `.env` and .gitignore
- ✍️ document learning here: https://t.co/v0EnGZBZol",0,0
1347220732523106305,731856877139558400,01Abhi10,Thu Jan 07 16:37:07 +0000 2021,"#66daysofdata with @KenJee_DS
Day 3: Practiced #Python on https://t.co/XBLrUxeIOo

Status: Done with the easy parts.
Productivity: ⭐⭐

#DataScience",2,2
1347218470224633856,868148185683828736,Navis19602,Thu Jan 07 16:28:08 +0000 2021,@KenJee_DS Day 4 of #66daysofdata and today I just went through chapter 3/15 of Introductory Statistics by Sheldon M. Ross,0,1
1347216515871870976,1281890679052857346,ShrutiJ87241031,Thu Jan 07 16:20:22 +0000 2021,"Day 39 : #66daysofdata  @KenJee_DS
- went through some kaggle data set for getting new project ideas
Does anyone has any good project idea which I can try out.",0,0
1347199452830830596,1344904404240015360,hereigoagainbyk,Thu Jan 07 15:12:33 +0000 2021,"Day 6 #66daysofdata 
-Overviewing Uplift Model: Traditional, Two Models, Treatment Dummy &amp; Four Quadrant Method with the evaluation using IRR &amp; NIR in Python
#TIL",0,0
1347194256838905856,1262624101983633408,erkushagra_,Thu Jan 07 14:51:55 +0000 2021,"day- 3 &amp; day- 4 of #66daysofdata ends with lots of debugging with flask code and HTML file
of my project...#WorkinProgress",0,0
1347192624969498626,1345067421288132608,Niriha6,Thu Jan 07 14:45:26 +0000 2021,"Day 6
Today in the module Model validation in my kaggle Intro to machine Learning course  I have learnt to split the data and use that to train and calculate mean absolute error to validate the predictions made on the data.
#66daysofdata",0,0
1347179129846648834,3023431117,tibi01993,Thu Jan 07 13:51:48 +0000 2021,"Day 5: Continue with ML course with R-Squared Intuition. Need to arrange one hour to write down what i've just done.
As long as I dive deeper, i realised i had learned maths wrongly in high school.
#66daysofdata",0,1
1347171049268396034,2936164585,PPatil699,Thu Jan 07 13:19:42 +0000 2021,"#day4 of #66daysofdata by @KenJee_DS sir, statistics continued revised normal distribution and standard normal distribution with z score along with estimation. https://t.co/TIqxWEA5UR",0,7
1347159109410369540,1342015716535508994,iamsalihmansoor,Thu Jan 07 12:32:15 +0000 2021,"Day 9:

✔️ Learnt the basics of linear regression

@KenJee_DS #66daysofdata",0,4
1347148065967230976,2797843626,shailesh_basera,Thu Jan 07 11:48:22 +0000 2021,"#66daysofdata 
Day 6
- learned recursion in Python",0,1
1347137166669979648,1345374681008926723,DataLiteracy66,Thu Jan 07 11:05:03 +0000 2021,"Day 4 of #66DaysOfData Literacy looks at #nominal variables and how best to summarize them. Counting is renamed frequency to scare away non-math people, but don't be fooled! #DataIsEasy #DataIsFun #LearnData

https://t.co/HOjDSYkIMw https://t.co/e2W2NxhVd1",0,4
1347119413447815169,397272525,shatandv,Thu Jan 07 09:54:31 +0000 2021,"Plan for Day 4 of #66DaysOfData!
- Complete the 1st half of @kaggle Data Cleaning micro-course,
- Finish the last unit of the @DataCamp Unit Testing for DS course,
- Do some @hackerrank Python and SQL problems.

Let's go!",0,0
1347116863428325384,1329313525974532097,AyubRasool14,Thu Jan 07 09:44:23 +0000 2021,Day 10/66: tough day at work!! Nevertheless started learning the basics of deep learning through my udemy course. #66daysofdata,1,3
1347097112039735298,1214799165500248066,ShivSivakumaran,Thu Jan 07 08:25:54 +0000 2021,"Day 3 of #66daysofdata

Working through Python for Data Analysis by Wes Mckinney.
Learnt about:
- permuting and sampling using #numpy
- used get_dummies() method to turn a data of finite categories into a matrix of 1's and 0's
- applied this knowledge to a movie dataset.",1,2
