tweet_id,user_id,user_name,created_at,full_text,retweets,favorite
1336924236074512384,2212129783,sam_jwalsh,Thu Dec 10 06:42:31 +0000 2020,"#66daysofdata
Day 23:
-Started work on getting pubg data ready for model (meaning figuring how to re-split the data, etc).
-I think it'll take a little more data cleaning but shouldn't take long.",0,0
1336919219791831041,2588345408,paulr_rohan,Thu Dec 10 06:22:35 +0000 2020,"My #kaggle notebook on Encoding-Categorical-Variables

https://t.co/VmUkFarTc8

#DataScience #MachineLearning  #100DaysOfMLCode #Python #DataScientist #66daysofdata #Statistics #Mathematics #pandas #programming #ArtificialIntelligence #Data #DataAnalytics",4,2
1336898892269461504,1701937670,kkccookkiiee,Thu Dec 10 05:01:48 +0000 2020,"#day6 of #66daysofdata
I found that linear algebra and calculus are very important math concepts to understand machine learning and deep learning
Today I learn
- computing neural network output and vectorized the data
- practice coding LinkedList in python",1,0
1336892078605955072,1320782511748927489,NoahHorsleyDS,Thu Dec 10 04:34:44 +0000 2020,"I watched some videos about Git and GitHub today to improve my understanding of how the platform is used for collaboration.

Day 43 of #66daysofdata
Days missed: 2",0,3
1336889522143969281,45938414,KiInoue,Thu Dec 10 04:24:34 +0000 2020,Day47 of #66DaysOfData: working on visualization skills...mainly Tableau level of detail calculations and mapping.,0,0
1336884998222254080,935615163457310722,stsewang17,Thu Dec 10 04:06:36 +0000 2020,Day 8 of #66daysofdata: ✓.,0,0
1336874130277208066,1331398329977032707,aloknag_10,Thu Dec 10 03:23:25 +0000 2020,"Day 3 of #66daysofdata: 
- Revision of pandas for data analysis. 
- Detailed understanding of general definition of probability and properties of probability functions.",0,1
1336827551059116033,1318596362703962119,dataleftovers,Thu Dec 10 00:18:19 +0000 2020,"Day 30 and 31 of #66daysofdata:

Been working on my Big Brother project. I used plotly for the first time.",0,0
1336819919388876800,1332613548,imkeller_5,Wed Dec 09 23:48:00 +0000 2020,Day 51 of #66daysofdata! Continued using pandas on Dataquest today. Not that much to report but progress.,0,0
1336732514585518080,909968496011894784,Paiky16,Wed Dec 09 18:00:41 +0000 2020,"Day 13 of #66daysofdata -
⏹️ Completed CH6 of Kaggle Intro to Deep Learning course. 
⏹️ Completed basic data structures in Python.",1,1
1336713489335795712,19448058,paulapivat,Wed Dec 09 16:45:05 +0000 2020,"Day 17: #66daysofdata

- published Probability Distributions in Python: https://t.co/rFFwGE0Q5S
- work-in-prog post on Permutations https://t.co/fK6zdi1hqM",0,2
1336712651863433230,1272594316507004929,JamesJDargan,Wed Dec 09 16:41:45 +0000 2020,Days 3-8 of #66daysofdata focused on SQL. Completed two LinkedIn Learning SQL courses and studied essential clauses and usage.,0,1
1336697338484514817,1291489501844393984,_dominiquejames,Wed Dec 09 15:40:54 +0000 2020,"Be honest with yourself. If you don’t know how to do it, find out how and reach into your network, forums, and even YouTube comment sections to learn how.

🤙🔥❤️

#100DaysOfCode #SQLServer #Python #javascript #CodeNewbies #code #66daysofdata #API #Analytics",3,6
1336683083743985665,2588345408,paulr_rohan,Wed Dec 09 14:44:16 +0000 2020,"My #kaggle notebook Dimensionality Reduction and PCA

https://t.co/eGxpkkLwII

#DataScience #MachineLearning  #100DaysOfMLCode #Python #DataScientist #66daysofdata #Statistics #Mathematics #pandas #programming #ArtificialIntelligence #Data #DataAnalytics",2,4
1336672277191122944,1332613548,imkeller_5,Wed Dec 09 14:01:19 +0000 2020,"Day 50 of #66daysofdata! Yesterday I slept in early and was not able to get something done on Dataquest. Anyways I did some things for my Databases project, so I picked up some ne things for SQL.",0,1
1336589788577550336,2212129783,sam_jwalsh,Wed Dec 09 08:33:32 +0000 2020,"#66daysofdata 
Day 22:
-I think I'm ready to start training models on my pubg data notebook. maybe a little pre-mature, but i'm getting antsy
-I also want to start studying math for ML, which I think is important.
post finals i'll be grinding data sci..",0,1
1336577077131108352,1214799165500248066,ShivSivakumaran,Wed Dec 09 07:43:02 +0000 2020,"Day 53 of #66DaysofData. I've been absent for a while. Just on holiday.

Can anyone guess what country this is?

Got a cool blog coming up on this as well.

#100DaysOfCode #DataScience #matplotlib #jupyternotebook #python https://t.co/uGNWZtSCJB",10,8
1336576364992872448,2588345408,paulr_rohan,Wed Dec 09 07:40:12 +0000 2020,"My #kaggle notebook some important and common #Python Exercises

https://t.co/ok8qZsDN53

#DataScience #MachineLearning  #100DaysOfMLCode #Python #DataScientist #66daysofdata #Statistics #Mathematics #pandas #programming  #interview  #100daysofcodechallenge #100DaysOfCode",8,7
1336553501829324800,2771098682,pigglymichele,Wed Dec 09 06:09:21 +0000 2020,"✅ DAY 49 of #66daysofdata 

✨ didn’t do too much learning today but I had this q of how to find top N within each category without using context filters. Learned this new table calc using Index on tableau

✨ also attended this intersection panel and learned bout the agency",0,1
1336524406441566208,1320782511748927489,NoahHorsleyDS,Wed Dec 09 04:13:44 +0000 2020,"I don't use SQL on a daily basis, but I'm glad I know it. There's a lot of overlap with concepts I do use regularly, like joins.

Day 42 of #66daysofdata
Days missed: 2",0,3
1336513972359602178,935615163457310722,stsewang17,Wed Dec 09 03:32:16 +0000 2020,Day 7 of #66daysofdata: ✓.,0,1
1336441886324760577,1308392951949725697,chanmantweeter,Tue Dec 08 22:45:50 +0000 2020,"Super-useful blog post explaining the inplace parameter in Pandas dataframes. I was intrigued by seeing this parameter in a lot of the code in @KOrfanakis's excellent House price notebook on @kaggle. Now I get it! #66daysofdata
https://t.co/RIDdizEs87",0,2
1336440616369139724,1308392951949725697,chanmantweeter,Tue Dec 08 22:40:47 +0000 2020,"Still mindblowing that the model could have an MAE of 14673.95534 and still come in the top 6%. Even the 25th place out of 53,925 teams has an MAE of 11595.02554. How did the top 10 entries get an MAE of 0.000?! Awesome! #66daysofdata",0,2
1336439615062994950,1308392951949725697,chanmantweeter,Tue Dec 08 22:36:48 +0000 2020,"Days 15-20 of #66daysofdata - completed first pass through @kaggle's Intermediate ML course, and oddly got into the top 6% of the House Prices Learners comp, just by using XGBBoost instead of RandomForest using a fork of the Pipelines exercise (1/2)",0,2
1336431685743726593,1291489501844393984,_dominiquejames,Tue Dec 08 22:05:18 +0000 2020,"Watching a video or reading
≠ 
True understanding

Put your newfound knowledge to the test by doing and practicing.

🤙🔥❤️

#100DaysOfCode #SQLServer #Python #javascript #CodeNewbies #code #66daysofdata #API #Analytics",9,3
1336427217946112004,2527930848,joao96santos,Tue Dec 08 21:47:33 +0000 2020,"54 / #66DaysOfData
Completed the Intermediate SQL Serve by @DataCamp
• [Section 2/4] Math Functions: Counting; Totals; Dates; Round and Truncate; Others

• [Section 3/4] WHILE; Derived Tables; CTE

• [Section 4/4] Window Functions: OVER (PARTITION BY)
https://t.co/5CBlacxxUs",0,2
1336413075776233472,1331398329977032707,aloknag_10,Tue Dec 08 20:51:21 +0000 2020,"Day 2 of #66daysofdata :
Listened to a podcast Ken's Nearest Neighbours from @KenJee_DS with @mrdbourke.",0,3
1336377868280942592,1258031380136509441,thatshutterboi,Tue Dec 08 18:31:27 +0000 2020,"Day 22-24 of #66daysofdata , I the last few days I studied about Vectors, spaces, subspaces, spanning and Stuff like that, thanks to @3blue1brown I was able to understand that stuff. And also participated in @kaggle ML &amp; DS Survey Competition!
#DataScience #AI #MachineLearning",2,4
