tweet_id,user_id,user_name,created_at,full_text,retweets,favorite
1372170545714839561,1324652185964204033,meyke9976,Wed Mar 17 12:58:46 +0000 2021,"Day 71 of #66daysofdata by @KenJee_DS 
Only very little time :( so only repeated some DP-200 exam prep questions... 💤 boring update 😅",0,3
1372164803410554882,1007227234229161984,thedatacrack,Wed Mar 17 12:35:57 +0000 2021,"Day 20 of @KenJee_DS 's #66daysofdata Round 2 Update

Been around 34 days since I had to pause my progress due to unforeseen circumstances. Feels good to finally get back on the horse!

- Completed the remainder of 10 Days of Statistics on Hackerrank
- Brushed up SQL basics",0,0
1372140778126909442,1188798821024722945,Muh_Raihan_P,Wed Mar 17 11:00:29 +0000 2021,"Day 64 of #66daysofdata v2:
Again only a minor study as I had other things to do",0,0
1372138545784164353,1154041072743407616,JengaSchool,Wed Mar 17 10:51:37 +0000 2021,"Building a data-driven culture is critical for any 21st Century business, whether a corporate or a small business.

In this blog, @NjorogeKahira, #Jengaschool instructor explains in detail why every company needs #DataScience  skills.

Enjoy!
https://t.co/kfzkC9wMwv
#66daysofdata",0,0
1372130728465424390,23293578,therealjaysueno,Wed Mar 17 10:20:33 +0000 2021,"Day 24 of #66daysofdata. Today I’ve been prepping for a LinkedIn interview. Wanna know what it takes?

🤖 SQL / Python coding challenge
🤖 Case interview with framework
🤖 Statistical concepts
🤖 Behavioral questions",0,2
1372108711079022593,1266599735881687040,ChinWuChen1,Wed Mar 17 08:53:03 +0000 2021,"D #66daysofdata 
A bit under the weather today so I took a break. Hope for the best tomorrow💪",0,0
1372097045427814401,397272525,shatandv,Wed Mar 17 08:06:42 +0000 2021,"Day 72 of #66DaysOfData:
- Spent almost the whole day making visualizations with Plotly and Dash,
- Learned about the actual Stochastic Gradient Descent algorithm, now I'll need to code it for a linear regression!
#moredaysofdata",0,4
1372061813223780354,209191879,bhatnagarkush,Wed Mar 17 05:46:42 +0000 2021,"Day 49: Completed #AWS training on ML Exams basics  'ML for Business Challenges'. Also, learned about Latent Dirichlet Allocation(LDA) in @awscloud SageMaker #66daysofdata #MachineLearning",1,1
1372038864727117825,1291114285507186690,jaimedatalatte,Wed Mar 17 04:15:31 +0000 2021,"A farewell notebook for a great journey. I'm going to take a rest from what DS is at it's core until next round and focus on some important skills i still haven't develop in the meantime (SQL, Tableau, Power BI...)

#66daysofdata

https://t.co/lCKfNWgLMa",0,16
1372037762619170818,3432128877,Coach_Raz26,Wed Mar 17 04:11:08 +0000 2021,"Day 63: #66daysofdata
Today was a Squat day for @DelawareFH! We utilized @Elite_Form to stay above our training zone for day &amp; were pushing for higher work output in the 5th set compared to 4th set. We also wanted to see higher average velocity (m/s).  #SportsScience #VBT https://t.co/FYsppARZyy",2,4
1372033300114649089,1342015716535508994,iamsalihmansoor,Wed Mar 17 03:53:24 +0000 2021,"Day 24

Did more visualizations.
Learned how to plot a distplot

@KenJee_DS #66DaysOfData",0,2
1372022591582576647,873235918215360512,raulrdgz,Wed Mar 17 03:10:51 +0000 2021,"Day 13 of #66daysofdata &amp; #100DaysOfCode 
and Day 2 of not feeling it

...but put in some time anyway bc I made a commitment to myself and bc 30 min of code is better than 0 minutes, right? Right.

#Python #DataAnalysis #DataNewbie",9,9
1372008861687812096,2149586883,vperez2000,Wed Mar 17 02:16:17 +0000 2021,"#66daysofdata #Round2 #Day61
#61: https://t.co/kFvsLQR9YL

SQL Queries by @KenJee_DS

SQL, always a beauty. 
If you don't know it is a must and this video is a very good basic and understandable tutorial ✅ 
Recommended!!!",0,0
1372006627008741378,1208077315747528704,SiphuLangeni,Wed Mar 17 02:07:25 +0000 2021,"Day 75: Played around with #JavaScript for the first time ever! I love #TemplateLiterals!
Couldn’t do the equivalent in #Python until v3.6 with introduction of f-strings (Dec '16). Prior to that, it was string formatting or format specifiers.

#100DaysOfCode #66DaysOfData #BWIAI",5,13
1372004601386401792,4769857642,louis__simpson,Wed Mar 17 01:59:22 +0000 2021,"Day 66 of #66DaysOfData - I have realized that there are so many paths to data science and machine learning. Maybe I need to spend another 66 days figuring out how to spend my time and resources!
 #MachineLearning #AI #DataScience",2,2
1372004259479351306,784839510303453185,tthoraldson,Wed Mar 17 01:58:00 +0000 2021,Day 2 of #66daysofdata R2: Started Federated Learning lectures from @openminedorg and read some of the 100-page #MachineLearning book.,0,6
1371974898168561665,969343076442542081,JaimeAAvendano,Wed Mar 17 00:01:20 +0000 2021,"Day 20 of #66DaysofData-

- Did a couple of BigQuery qwiklabs. 
- Listened to a great @Meetup, with @ProQuesAsker speaking on the importance of Data Storytelling. My biggest takeaway is to keep a backlog of ideas.",0,8
1371968109393842177,95620001,FirstKraken,Tue Mar 16 23:34:21 +0000 2021,"2/66 #66daysofdata round 2. With the intro course down, I went straight into week 1 of course two in the @DeepLearningAI_ tensorflow developer specialization. Course two is Convolutional Neural Networks in tensorflow. Rolling up the sleeves!",0,4
1371965193731866627,63557338,egm_photo,Tue Mar 16 23:22:46 +0000 2021,"Day 72 of #66DaysOfData with @KenJee_DS. Today was just not it. Fortunately, the swimming through molasses in an antique diving suit type of day was made more bearable by the 2 Bobs. Details at https://t.co/qbVceSsdam. https://t.co/6Z5zYffYSh",0,1
