tweet_id,user_id,user_name,created_at,text,full_text,retweets,favorite
1319168063946842113,1291114285507186690,jaimedatalatte,Thu Oct 22 06:45:50 +0000 2020,"D49. #66DaysofData 
All about data cleaning today.",None,0,9
1319165450304032768,1302918771355652096,GeorgeKamp5,Thu Oct 22 06:35:26 +0000 2020,"Day 40-42 of #66daysofdata 
I started the titanic challenge on kaggle and after several submissions I got a score o… https://t.co/7wzYQ36dt7","Day 40-42 of #66daysofdata 
I started the titanic challenge on kaggle and after several submissions I got a score of 76.6% (which is the baseline) . . . I was kind of disappointed but I will keep working on it",0,10
1319160628272111617,1108597836755755009,maisdev,Thu Oct 22 06:16:17 +0000 2020,"After few months of break due to coursera ML course, resumed udemy python course. Nothing very new for now. But pla… https://t.co/rqx9mxepuJ","After few months of break due to coursera ML course, resumed udemy python course. Nothing very new for now. But plan to go through all lectures as much as I can until going back to ML course in December. R2D2 #100DaysOfMLCode D52 #66daysofdata",2,3
1319153299002621952,929348498,mrcapital_c,Thu Oct 22 05:47:09 +0000 2020,I found a very cool folder on Kaggle on Data Science cheats. It contains proper insights with regards to Algorithms… https://t.co/oNai8Gbty0,"I found a very cool folder on Kaggle on Data Science cheats. It contains proper insights with regards to Algorithms to Data Mining and Interview Questions. Really great Stuff
 #66daysofdata #ArtificialIntelligence #MachineLearning",0,2
1319144531992973313,1290013787819593735,math3mantic_,Thu Oct 22 05:12:19 +0000 2020,"Day 50 of #66daysofdata: Today, I started reading Chapter 5 (Support Vector Machines) of Hands-on ML2 book and cont… https://t.co/fc4gSdukjX","Day 50 of #66daysofdata: Today, I started reading Chapter 5 (Support Vector Machines) of Hands-on ML2 book and continued Kaggle's Computer Vision course. I have an upcoming presentation of Decision &amp; Random Trees this Sunday. I can't stress enough how much I love this book.",0,1
1319144346961182723,1301208059486842882,ceeezthedata,Thu Oct 22 05:11:35 +0000 2020,"🗓 Day 50 of #66daysofdata 

Reviewed SQL fundamentals to gain a better foundation. Overlooked queries that would ca… https://t.co/f0W37z8YUx","🗓 Day 50 of #66daysofdata 

Reviewed SQL fundamentals to gain a better foundation. Overlooked queries that would cause complication to myself such as subqueries and JOINS

#DataScience #SQL #DataAnalytics",0,0
1319131854239420416,1247769181002403841,ahanawrites,Thu Oct 22 04:21:56 +0000 2020,Day 51 of #66daysofdata: Contd...Adagrad is a modified stochastic GD method that increases the learning rate for sp… https://t.co/ssBnCPTOpk,"Day 51 of #66daysofdata: Contd...Adagrad is a modified stochastic GD method that increases the learning rate for sparser parameters and reduces it for less sparse ones. This improves convergence where sparser parameters are more informative, which is often the case in NLP or CV.",0,0
1319127642562457600,1262564081699086341,ImportData1,Thu Oct 22 04:05:12 +0000 2020,"📅Day 52 of #66daysofdata

Read pg.167-172 of ESL
- Reproducing Kernel Hilbert Space (RKHS)
- Penalized Polynomial R… https://t.co/ndmgrWUUo0","📅Day 52 of #66daysofdata

Read pg.167-172 of ESL
- Reproducing Kernel Hilbert Space (RKHS)
- Penalized Polynomial Regression

https://t.co/lQAlZd4e66

#Statistics #MachineLearning #DataScience #Data #Analytics #DataAnalytics #ImportData",0,3
1319126200862867456,2771098682,pigglymichele,Thu Oct 22 03:59:29 +0000 2020,"✅ DAY 2 of #66daysofdata 

Watched a short video on applying criteria with WHERE in SQL Server.

Learned that putti… https://t.co/i6XnCnaOFT","✅ DAY 2 of #66daysofdata 

Watched a short video on applying criteria with WHERE in SQL Server.

Learned that putting /* and */ in the query can omit certain volume in the output.

I rlly should do my learning in the day rather than at night 😔",0,1
1319117792352714752,1300541186864590848,trainandtest,Thu Oct 22 03:26:04 +0000 2020,"#QuestionOfTheDay How to decide when to use Label encoding, and when to use One Hot? 

#MachineLearning #Data… https://t.co/O4RXVfCzDo","#QuestionOfTheDay How to decide when to use Label encoding, and when to use One Hot? 

#MachineLearning #Data #DataScience #66daysofdata #100DaysOfCode #100DaysOfMLCode",8,7
