tweet_id,user_id,user_name,created_at,full_text,retweets,favorite
1357286515739684866,1345374681008926723,DataLiteracy66,Thu Feb 04 11:14:57 +0000 2021,"Day 32 introduces line charts as we transition into tracking data changes over time. #66DaysOfData #100DaysOfCode #DataScience

https://t.co/K3fathCS0k https://t.co/J09AFMQJPM",15,5
1357270434006388736,1308365362598215680,maszanski,Thu Feb 04 10:11:02 +0000 2021,"Day 40 of #66daysofdata 
Today I want to check next 3-hours video &amp; read article about productivity in #Kaggle competitions. 
Also I’ve idea to improve my working environment by using extensions for #JupyterNotebook. And  I need to sort my bookmarks; there is a lot of stuff! https://t.co/WuIImJDtt0",1,2
1357259596226678785,267466466,tadiwami,Thu Feb 04 09:27:59 +0000 2021,"Day 21 of the #66daysofdata : continued leaning more about machine learning; supervised/supervised. Training, testing, visualising. Multilayered process. Was quite full-on.",0,1
1357257913115545600,1342812316916740098,BenMLDS,Thu Feb 04 09:21:17 +0000 2021,"Day 12 of #66daysofdata 
😒😪 https://t.co/BN1Efu6Yb0",0,0
1357245639327965186,63557338,egm_photo,Thu Feb 04 08:32:31 +0000 2021,"Day 31 of #66DaysOfData with @KenJee_DS 

Super hectic day. Managed to update the Pandas Flashcard Excel notebook with a few more methods. Hoping to do more on day 32!",0,0
1357244322161168384,26636853,xtinachen,Thu Feb 04 08:27:17 +0000 2021,"#66daysofdata 
2⃣7⃣-3⃣1⃣
• experiments pset on randomization interference/statistical power took up most of my week
• research NLP papers for final project - decided on amazon reviews for beauty/household products, more to come! 😊
• learned about parsing types and beam search",0,2
1357243836775337986,1342877464792498182,HerlimRenaldy,Thu Feb 04 08:25:21 +0000 2021,"Day 35- Worked on implementing a tracking of link clicks on a website im working on with Google Tag Manager, next steps is to figure out how to do this on React apps.

Studied for my databases course midterm tomorrow, and also looked through some R code for work! #66daysofdata",0,2
1357242047439073286,23293578,therealjaysueno,Thu Feb 04 08:18:15 +0000 2021,"Day 6 of #66daysofdata with @KenJee_DS: Today I researched business intelligence interview questions on YouTube. Insights:
🟨 See and hear it is helpful
🟨 Use clarifying questions
🟨 Provide options then drill down
🟨 Clearly explain your thought process

https://t.co/NE2XdfIpzv",0,0
1357239880816889858,1316454234447990784,data_motivated,Thu Feb 04 08:09:38 +0000 2021,Day 30: Today I spent a lot of time on my resume. Excited to spend the next couple hours working on my recommender project. Setting up user account functionality. Almost done! #66daysofdata #DataScience,1,0
1357238698316734464,1023818495471964160,NMashinchi,Thu Feb 04 08:04:56 +0000 2021,That quote will always stick in my head for the rest of my life 😂 #66daysofdata  #datascience #SQL #datascienceeducation,2,1
1357236278278897665,804283562115629056,theishantha,Thu Feb 04 07:55:19 +0000 2021,"Day 25, 26, 27, 28, 29 of 66

I read the first chapter again and Still following the Second chapter in the Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow, 2nd Edition book from @OReillyMedia

#66daysofdata #DataScience #MachineLearning #TensorFlow #Keras",4,0
1357219842743357441,1159830350102781953,KenJee_DS,Thu Feb 04 06:50:01 +0000 2021,"Day 31 of the #66DaysOfData Round 2! 

Experimented with some transfer learning with the ImageAI library. Couldn't get it to work, so may try to do the same analysis with fastai tomorrow!",0,16
1357217831469912064,1069010036255387648,XudaiyanziD,Thu Feb 04 06:42:01 +0000 2021,DAY 3: practice 3 SQL questions on Leetcode #66daysofdata,0,0
1357217512228851716,1301025989359788033,AMuktineni,Thu Feb 04 06:40:45 +0000 2021,"Day 29 of #66daysofdata Round 2!

Iterators vs. Iterables, learnt to apply iter() to create an iterator, iterating over iterables using next(), played around with iterators using enumerate() &amp; unpack, zip() &amp; unpack, zip with *. @KenJee_DS",0,8
1357213234214895616,397272525,shatandv,Thu Feb 04 06:23:45 +0000 2021,"Plan for Day 32 of #66DaysOfData!
- Do 1 @hackerrank Python and SQL problem,
- Model my sleep data with manual statistical Linear Regression,
- Continue the @kodekloud1 Advanced Docker course,
- Watch a @3blue1brown calculus video.

Let's go!",0,2
1357212947093860353,397272525,shatandv,Thu Feb 04 06:22:37 +0000 2021,"Day 31 of #66DaysOfData summary:
- Do 1 @hackerrank Python and SQL problem,
- Cleaned my sleep data, did some feature engineering,
- Watched a lesson for the @kodekloud1 Advanced Docker course,
- Watched a @3blue1brown calculus video.

Feels good to finally hit all of my goals :)",0,3
1357206450104274944,1310356801909522433,_shreejaya,Thu Feb 04 05:56:48 +0000 2021,"Day 30 of #66daysofdata by @KenJee_DS
 
Focussed on Random Forests today, here's a nice blog for begineers https://t.co/z5845pdh6Y",0,1
