tweet_id,user_id,user_name,created_at,full_text,retweets,favorite
1638453490321182720,2531409548,poeteller1,Wed Mar 22 08:12:07 +0000 2023,"Day 21 of #66DaysOfData R4!

- An article from Abid Ali Awan introducing GPT-4, its history, and the improvement between it and GPT-3. He states that one particular feature that's better than GPT-3 is its ""Steerability"" to change t…https://t.co/vFDK50xYZ2 https://t.co/NwQC2kDYtH",0,0
1638381749120925698,3331549632,Shin96981995,Wed Mar 22 03:27:03 +0000 2023,"Day43 of #66DaysOfData.
Preparation of Japan statistical society certificate grade 2 at Udemy course.
- 35) Survey research methods",0,0
1638248091672277005,1162359569701584897,VesekeM,Tue Mar 21 18:35:56 +0000 2023,"Day 31 of #66daysofdata 
Organized my SQL code and synced with the team head to write it in a simpler and shorter manner 😅
Also reviewed my dashboard with the data lead and made some adjustments to my dashboard. 
#Amplitude #66DaysOfData #DataAnalytics #DataVisualization",0,1
1638182897512325122,1378548937213108229,saugatregmi59,Tue Mar 21 14:16:53 +0000 2023,"🏆 Day7 of #66DaysofData

✅ Today, I read the paper Attention is All You Need, and although I struggled to comprehend most of it, I gained a theoretical knowledge of the content &amp; planning to apply this acquired knowledge in coding tomorrow. 

🔗 GitHub: https://t.co/G7Kj7ZrEPY https://t.co/jUU7gMtb9B",0,0
1638174389710786560,1623213853898317825,madhuri__15,Tue Mar 21 13:43:04 +0000 2023,"Day 03 - SQL -- SQL Basic clauses -- SELECT, WHERE, LIKE, GROUP BY, ORDER BY, AND, OR

Today, I learned the basics of select, where, group by, and order by clauses, which allow me to filter, aggregate, and sort data according to different conditions.

#66DaysOfData #SQL",0,0
1638159799668862976,951871594376376320,JackRaifer,Tue Mar 21 12:45:06 +0000 2023,"Finally, because of the #BettLondon next week, might be posting a bit less on the #DataScience side of things and a lot more on what is happening at the event. So, stay tuned.

(a #66DaysOfData with @KenJee_DS Challenge). https://t.co/P9emBzCYSY",0,1
1638144806001029120,1162359569701584897,VesekeM,Tue Mar 21 11:45:31 +0000 2023,"https://t.co/4Z4NfveHdR
I came across this SQL cheat sheet from a YouTube tutorial I watched and thought I should share. 
#SQL #Data #DataScience #DataCleaningchallenge #DataAnalytics  #databases #datasets #66daysofdata #66DaysOfData",0,2
1638124924241076225,3331549632,Shin96981995,Tue Mar 21 10:26:31 +0000 2023,"Day42 of #66DaysOfData.
Preparation of Japan statistical society certificate grade 2 at Udemy course.
- 34) Population and Inferential Statistics",0,0
1638054546986668033,2531409548,poeteller1,Tue Mar 21 05:46:52 +0000 2023,"Day 20 of #66DaysOfData Round 4!

- Completed one of the DataCamp guided projects ""When Was the Golden Age of Video Games?""! It's quite fascinating to know the sales of each game and their trend to realize whether the gaming indust…https://t.co/xRqCBoeLm9 https://t.co/4155v93aAh",0,0
1637951208231956480,1618356674938667009,herdataproject,Mon Mar 20 22:56:14 +0000 2023,"Data Analysis tip!!

Always start with a clear question or objective in mind. This will help guide your analysis and ensure that you are focusing on the most relevant data and insights.
#66daysofdata",0,2
1637880548763787264,1162359569701584897,VesekeM,Mon Mar 20 18:15:27 +0000 2023,"After that I created a dashboard on #Amplitude which is meant to answer quick questions about the ""E"" application. It still needs some revision however. 
👇🏾
#66daysofdata #66DaysOfData #DataAnalytics #DataVisualization https://t.co/wNbgOP5S6B",0,4
1637880545253138432,1162359569701584897,VesekeM,Mon Mar 20 18:15:26 +0000 2023,"Code 👇🏾
#66daysofdata #66DaysOfData #SQL #snowflake https://t.co/8MD8kyR2Mw",0,4
1637880541910278145,1162359569701584897,VesekeM,Mon Mar 20 18:15:26 +0000 2023,"Day 31 of #66daysofdata
I finally answered the question 👇🏾 https://t.co/pSQwxsyQzB",0,4
1637872045265653761,1623213853898317825,madhuri__15,Mon Mar 20 17:41:40 +0000 2023,"Day 02 - SQL Installation.

Hey everyone!
I'm excited to share with you my progress in learning SQL. Today was my second day of learning SQL. #66DaysOfData  #SQL   #DataAnalytics 
- I installed SQL Server Management Studio(SSMS).
- Create a database using

CREATE DATABASE sqldb;",0,0
1637781703174557696,2531409548,poeteller1,Mon Mar 20 11:42:41 +0000 2023,"Day 17~19 of #66DaysOfData R4!

- A video from Cajun Koi Academy regarding the steps of building new skills! The first step they mentioned was to get a study manual and I can't agree with that anymore. I always consider myself a pe…https://t.co/ZaJh0Pqlve https://t.co/gDcEtU1eSF",0,0
1637657592087420928,1157288770116489216,DjDataScience,Mon Mar 20 03:29:30 +0000 2023,"Day 28
Used GPT for the first time today. Comforted to see that it verified thinking that I brought to it.

Brings me back to my college days when I’d lean on Wolfram Alpha. Hope that it’s just a tool, and not something to rely on too heavily or be intimidated by
#66DaysOfData",0,1
1637508646644097024,478313493,DaikiMinaki,Sun Mar 19 17:37:39 +0000 2023,"More Sports-Related Data Jobs here:
https://t.co/341sH2Yaox

#BuildinPublic #DataCleaningchallenge #66DaysofData #DataAnalytics #DataFam https://t.co/1xEFedAOjR",0,1
1637150860269572097,1162359569701584897,VesekeM,Sat Mar 18 17:55:56 +0000 2023,"Day 30 of #66daysofdata 
#66DaysOfData 
I solved some SQL exercises today from a YouTube video tutorial I watched. 
#sql 
Link to github repo: https://t.co/kLM05yer4z",0,3
1637150180557373444,1162359569701584897,VesekeM,Sat Mar 18 17:53:14 +0000 2023,"And from that view, write separate queries to do the 2 tasks above.  Will share the code and results with you once comeplete.
#SQL #66daysofdata #dataengineer #DataAnalytics #databases #66DaysOfData #DataScience #data",0,4
1637150177034219521,1162359569701584897,VesekeM,Sat Mar 18 17:53:13 +0000 2023,"So, the first part is complete and I will be working on the second part later tonight. Check out the code:

Rather than writing 2 separate queries, I've decided that I'd comment out the last line of this query and turn the rest of the code into a view 
#66daysofdata 👇🏾👇🏾 https://t.co/3HvNMoiMcP",0,4
1637150174353956865,1162359569701584897,VesekeM,Sat Mar 18 17:53:13 +0000 2023,"Day 29 of #66daysofdata
Yesterday I wasn't able to tweet 🫤 but.. heres's what I did: 

1. I adjusted the queries to suit more conditions I was given for wha I shared with you on day 28 https://t.co/gIHsyQzf2D

2. Started writing a query to answer another business question 👇🏾",0,4
1636867489115062279,1157288770116489216,DjDataScience,Fri Mar 17 23:09:55 +0000 2023,"Day 27
Outsourcing a bit of my learning here, for my own analysis.

Looking to you @JHamptAnalytics and @arbitanalytics.

A boxplot with log scale, is a bad idea right? The idea of skewness and outliers feels pretty warped, even with correctly plotted quartiles
#66DaysOfData",0,1
1636734388359577601,1378548937213108229,saugatregmi59,Fri Mar 17 14:21:01 +0000 2023,"🏆 Day4 of #66DaysofData

✅ Today I learned POS Tagging, Emission Probability, Transition Probability, Hidden Markov Models, and Viterbi Algorithm and revised the previous topics which I have learned. 

🔗 GitHub: https://t.co/o7LhVflvn1
📑 LinkedIn post: https://t.co/WdE3cJ68Rx",0,1
1636730469025976320,2531409548,poeteller1,Fri Mar 17 14:05:27 +0000 2023,"Day 13~16 of #66DaysOfData Round 4!

- Got to know how parsing and manipulating text work in SQL through DataCamp. For instance, UPPER(), LOWER(), and INITCAP() could change cases for strings while REPLACE() could replace a specifi…https://t.co/R13B6HjN5C https://t.co/RXBsNwCvag",0,2
1636648439110062080,635516480,RavitJain,Fri Mar 17 08:39:29 +0000 2023,"Generator in Python🚀

Credit: Unknown.
 
#machinelearning #data #datascience #100DaysOfCode #pythonbot #python #aibot #66daysofdata #theravitshow https://t.co/G9cgjhGTXz",0,3
